101A,Forward Dive Straight
101B,Forward Dive Pike
101C,Forward Dive Tuck
103B,Forward 1 1/2 Somersault Pike
104C,Forward 2 Somersault Tuck
104B,Forward 2 Somersault Pike
105B,Forward 2 1/2 Somersault Pike
105C,Forward 2 1/2 Somersault Tuck
107C,Forward 3 1/2 Somersault Tuck
107B,Forward 3 1/2 Somersault Pike
109C,Forward 4 1/2 Somersault Tuck
201B,Back Dive Pike
201C,Back Dive Tuck
202C,Back 1 Somersault Tuck
203B,Back 1 1/2 Somersault Pike
203C,Back 1 1/2 Somersault Tuck
205C,Back 2 1/2 Somersault Tuck
205B,Back 2 1/2 Somersault Pike
207C,Back 3 1/2 Somersault Tuck
301B,Reverse Dive Pike
301C,Reverse Dive Tuck
302C,Reverse 1 Somersault Tuck
303B,Reverse 1 1/2 Somersault Pike
303C,Reverse 1 1/2 Somersault Tuck
305B,Reverse 2 1/2 Somersault Pike
305C,Reverse 2 1/2 Somersault Tuck
309C,Reverse 3 1/2 Somersault Tuck
401B,Inward Dive Pike
403B,Inward 1 1/2 Somersault Pike
403C,Inward 1 1/2 Somersault Tuck
404C,Inward 2 Somersault Tuck
405C,Inward 2 1/2 Somersault Tuck
405B,Inward 2 1/2 Somersault Pike
5132D,Forward 1 1/2 Somersault 1 Twist Free
5134D,Forward 1 1/2 Somersault 2 Twist Free
5152B,Forward 2 1/2 Somersault 1 Twist Pike
5221D,Back 1 Somersault 1/2 Twist Free
5223D,Back 1 Somersault 1 1/2 Twist Free
5225D,Back 1 Somersault 2 1/2 Twist Free
5231D,Back 1 1/2 Somersault 1/2 Twist Free
5233D,Back 1 1/2 Somersault 1 1/2 Twist Free
5235D,Back 1 1/2 Somersault 2 1/2 Twist Free
5331D,Reverse 1 1/2 Somersault 1/2 Twist Free
5333D,Reverse 1 1/2 Somersault 1 1/2 Twist Free
5335D,Reverse 1 1/2 Somersault 2 1/2 Twist Free
303A,Reverse 1 1/2 Somersault Straight
203A,Back 1 1/2 Somersault Straight
5251D,Back 2 1/2 Somersault 1/2 Twist Free
